agent_drop_rate,backup_availability_rate,branch_disagreement_rate,connected_episodes,connected_pair_pdr,deadline_delivery_ratio,decision_latency_p50_ms,decision_latency_p95_ms,decision_latency_p99_ms,delivered,delivery_energy_efficiency_proxy,delivery_transmission_efficiency_proxy,endpoint_availability,energy_per_delivered_packet,energy_per_generated_packet,energy_per_on_time_delivery,episodes,false_switch_rate,fast_failover_miss_rate,fast_failover_success_rate,freshness_cache_capacity_eviction_rate,freshness_cache_hit_rate,freshness_cache_stale_eviction_rate,freshness_cache_state_eviction_rate,invalid_action_drop_rate,late_delivery_ratio_all,late_delivery_ratio_delivered,latency_aware_deadline_delivery_ratio,loop_drop_rate,mean_control_bytes,mean_control_messages,mean_deadline_slack_steps,mean_decision_latency_total_ms,mean_effective_end_to_end_delay_ms,mean_environment_step_time_total_ms,mean_episode_reward,mean_expected_transmissions_proxy,mean_local_observation_bytes,mean_minimum_link_lifetime_steps,mean_minimum_link_margin,mean_path_stretch,mean_per_hop_delay,mean_policy_input_bytes,mean_queue_delay_proxy,mean_safe_forward_candidates,mean_selected_danger,mean_success_delay,mean_switch_danger_reduction,mean_switch_steps,mean_transmission_energy_proxy,method,missed_risk_rate,overall_pdr,p95_success_delay,scenario,switch_activation_rate,time_limit_drop_rate,total_drop_rate,training_seed,ttl_drop_rate
0.02,0.0,0.0,200,0.98,0.975,1.530248,1.7695886424999991,1.9719373962999998,196,0.7577444647284028,0.40081799591002043,1.0,1.319706110104583,1.2933119879024915,1.326473833746145,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.00510204081632653,0.0,0.0,0.0,0.0,2.1479591836734695,3.807079235,0.0,2.2278832,10.553393827795983,2.445,4932.465,10.371155200928413,0.14207982733845712,1.0471938775510203,1.0,4301.425,3.635,0.0,0.0,2.438775510204082,0.0,0.0,1.2933119879024917,Fixed Manual Prior,0.0,0.98,4.0,heldout_medium,0.0,0.0,0.02,123,0.0
0.02,0.0,0.0,200,0.98,0.98,1.51100425,1.5671927325,1.5836384582999998,196,0.771076873162949,0.42424242424242425,1.0,1.296887554023,1.27094980294254,1.296887554023,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260204081632653,3.530559225,0.0,2.058329625,10.567046446293594,2.31,4662.33,9.91252865723165,0.13942998841404916,0.9991496598639454,1.0,4065.85,3.44,0.0,0.0,2.311224489795918,0.0,0.0,1.27094980294254,Shortest-Oracle Only,0.0,0.98,4.0,heldout_medium,0.0,0.0,0.02,123,0.0
0.015,0.0,0.0,200,0.985,0.985,1.507064,1.5627628849999997,1.704112457,197,0.7672555679458959,0.4227467811158798,1.0,1.3033466836574543,1.2837964834025926,1.3033466836574543,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2588832487309647,3.5400417049999997,0.0,2.07163915,10.647083453387022,2.33,4692.345,10.001748152402877,0.13897416070103646,1.0016920473773265,1.0,4092.025,3.4625,0.0,0.0,2.3248730964467006,0.0,0.0,1.2837964834025926,Risk-Oracle Only,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,123,0.0
0.015,0.0,0.0,200,0.985,0.985,1.5125615,1.58436856,1.6260895178999992,197,0.7674585046084398,0.4236559139784946,1.0,1.3030020437524552,1.2834570130961682,1.3030020437524552,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,3.55156602,0.0,2.07532009,10.647554178684949,2.325,4682.34,9.949398409804605,0.1388517688214779,0.9991539763113366,1.0,4083.3,3.456875,0.0,0.0,2.3197969543147208,0.0,0.0,1.2834570130961682,Shortest+Risk (No Teacher),0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,123,0.0
0.02,0.0,0.0,200,0.98,0.98,1.50676325,1.5574347025,1.5871762789999997,196,0.7737450483076969,0.4224137931034483,1.0,1.2924153791835677,1.2665670715998965,1.2924153791835677,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25,3.53165699,0.0,2.0732590650000002,10.565289312809705,2.32,4682.34,9.920537918274194,0.13920363113284112,1.002125850340136,1.0,4083.3,3.45875,0.0,0.0,2.3214285714285716,0.0,0.0,1.2665670715998965,Teacher Distillation Only,0.0,0.98,4.0,heldout_medium,0.0,0.0,0.02,123,0.0
0.02,0.0,0.0,200,0.98,0.98,1.51001,1.5701838074999999,1.6135774528999989,196,0.771076873162949,0.42424242424242425,1.0,1.296887554023,1.27094980294254,1.296887554023,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.260204081632653,3.52897828,0.0,2.061166745,10.567046446293594,2.31,4662.33,9.91252865723165,0.13942998841404916,0.9991496598639454,1.0,4065.85,3.44,0.0,0.0,2.311224489795918,0.0,0.0,1.27094980294254,Teacher+Shortest+Risk,0.0,0.98,4.0,heldout_medium,0.0,0.0,0.02,123,0.0
0.015,0.0,0.0,200,0.985,0.985,1.5133985,1.569825605,1.6046479617999998,197,0.7660286186422539,0.4236559139784946,1.0,1.3054342561932586,1.2858527423503596,1.3054342561932586,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.263959390862944,3.5478040899999996,0.0,2.080322835,10.647618188589814,2.325,4682.34,9.951428021031884,0.13819710925221443,0.9991539763113366,1.0,4083.3,3.456875,0.0,0.0,2.3197969543147208,0.0,0.0,1.2858527423503596,Existing Phase11 Predictive Prior,0.0,0.985,4.0,heldout_medium,0.0,0.0,0.015,123,0.0
0.09,0.0,0.0,200,0.91,0.91,1.54774975,1.6108344524999998,1.8456252887999998,182,0.7565225100098009,0.3189690721649484,1.0,1.3218377335355758,1.202872337517374,1.3218377335355758,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1153846153846154,3.8973738950000008,0.0,2.131587645,9.345729443252086,2.852941176470588,5032.515,10.744808165151829,0.17753402903676033,1.0652930402930403,1.0,4388.675,3.678125,0.0,0.0,2.4395604395604398,0.0,0.0,1.202872337517374,Fixed Manual Prior,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,123,0.0
0.09,0.0,0.0,200,0.91,0.91,1.5237100000000001,1.5992650174999998,1.6263544118000002,182,0.7541971624474696,0.32775423728813563,1.0,1.3259132356781451,1.2065810444671121,1.3259132356781451,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,3.750677445,0.0,2.03987934,9.354085390508173,2.776470588235294,4902.45,10.50185177020399,0.1682894518971443,1.0378205128205127,1.0,4275.25,3.603125,0.0,0.0,2.379120879120879,0.0,0.0,1.206581044467112,Shortest-Oracle Only,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,123,0.0
0.09,0.0,0.0,200,0.91,0.91,1.51643325,1.5710215075,1.6113985191999998,182,0.7548826747417898,0.32775423728813563,1.0,1.3247091680068739,1.2054853428862553,1.3247091680068739,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1758241758241756,3.723182565,0.0,2.021183715,9.35393623036146,2.776470588235294,4902.45,10.50185177020399,0.16844272255897522,1.0378205128205127,1.0,4275.25,3.605,0.0,0.0,2.379120879120879,0.0,0.0,1.2054853428862553,Risk-Oracle Only,0.0,0.91,4.0,ood_link_loss,0.0,0.0,0.09,123,0.0
